hash, parentHash, author, utc, comment
306357e,,Michael Palumbo,1548353395,Initial commit
5973d9d,306357e,Michael Palumbo,1548353688,Create README.md
c644aaa,5973d9d,Michael Palumbo,1548355619,added link to participation instructions to readme.md
8a5b554,c644aaa,Michael Palumbo,1548366633,Update README.md
50c114b,8a5b554,Michael Palumbo,1548366658,clarity
9de58a4,50c114b,Michael Palumbo,1548366691,Update README.md
092ea63,9de58a4,Michael Palumbo,1548369648,readme.md matches wiki/home for now
a0a252b,092ea63,Michael Palumbo,1548369706,Update README.md
9923589,a0a252b,Michael Palumbo,1548369766,Update README.md
11b97f1,9923589,Michael Palumbo,1548369776,Update README.md
48b5264,11b97f1,Michael Palumbo,1548370826,Update README.md
d5b86e5,48b5264,Michael Palumbo,1548374573,pesky ds store
7a32565,48b5264,michaelpalumbo,1548374607,diagram of the cycles for the participation wiki page
efe21ff,7a32565 d5b86e5,michaelpalumbo,1548374609,Merge branch 'master' of https://github.com/dispersionlab/gitshow
3016f91,efe21ff,michaelpalumbo,1548375953,finished 3-cycle demo
ebdf54f,3016f91,michaelpalumbo,1549074382,guiStats.js reports a few simple stats of each instrument's gui
e231dc2,ebdf54f,michaelpalumbo,1549074417,guiStats.js created for analysis of cycle1
e4e4831,e231dc2,michaelpalumbo,1549077457,completed authorship determination for cycle 1 into cycle 2
9f922c1,e4e4831,michaelpalumbo,1549078378,reorganized repo. updated script to be more forgiving with cli args.
7f4c6f6,9f922c1,michaelpalumbo,1549078538,removed analysis folder
127d179,7f4c6f6,Michael Palumbo,1571256940,Create vcvrack.md
7dacc17,127d179,michaelpalumbo,1573076577,push the mainpage to github.io
55881c1,7dacc17,michaelpalumbo,1573077046,update webpage
c50cf0b,55881c1,michaelpalumbo,1573077572,fix error due to large file size
5cb06fc,c50cf0b,Michael Palumbo,1573077726,Update README.md
8bbb211,5cb06fc,thedispersionlab,1573142721,success. added figured out how to iimport csv. also solved an issue where commas in the commit comment were causing extra columns or rows to appear in rStudio's import of commits.csv
